1 2 3 4 5 6 7 8 9 10 11	12 13 14 15 16 17 18 19 20
2 -5 -7 3 5 -8 6 -1 7 -15 -11 1 5 2 5 0 5 -11 33 10
3 2 5 7 -3 7 23 7 8 9 21 4 -1 -2 -3 5 3 6 6 13
4 -1 -2 -3 5 3 1 5 2 5 4 3 5 -6 3 -11 -6 90 9 30
-5 -2 -3 -4 -5 -6 -1 -20 -56 -22 8 -7 5 -2 6 -1 6 2 -1 1
6 5 -1 3 6 -2 5 7 2 33 3 4 5 6 7 8 8 5 -9 30
7 6 4 7 3 6 3 6	4 6 9 5 3 7 -2 -1 4 7 2 -9
8 -7 5 -2 6 -1 6 2 -1 1 7 5 1 -1 6 3 7 -10 7 12
-8 7 -6 5 -3 1 4 7 3 10 9 5 3 7 -2 -1 4 7 2 -9
10 9 8 7 6 5 4 3 2 1 -22 -6 -7 -8 5 -44 8 3 9 3
11 12 13 14 15 16 17 18 19 20 8	-7 5 -2 6 -1 6 2 -1 -20
6 5 7 -3 5 -10 22 -1 1 -6 1 2 3 4 5 6 7 8 9 20
4 3 5 -6 3 -11 -6 90 9 30 -8 7 -6 5 -33 1 4 77 3 10
10 7 5 2 6 2 7 9 4 2 3 20 11 90	40 30 120 55 90 23
-6 -1 -2 -3 -2 5 7 4 7 3 -44 -2	-6 -88 3 -45 11	12 9 50
3 4 5 6 7 8 9 10 11 12 4 3 5 -6 3 -11 -6 90 9 30
-56 10 9 8 7 6 7 4 1 2 -9 -8 -7 -6 -5 -4 -3 -2 -1 9
-3 4 5 6 7 8 8 5 -9 10 6 5 -1 3 6 -2 5 7 2 33
-11 1 5 2 5 0 5	-11 33 10 9 5 3 7 -2 -1	4 7 2 -9
4 -5 -7 -6 1 -2	3 4 5 6 21 22 23 24 25 26 27 28	29 30
